CustomerID,SubscriptionID,StartDate,EndDate,Status
1,SUB0001,2022-01-31,,Yes
2,SUB0002,2022-02-28,2024-11-21,No
3,SUB0003,2022-03-31,,Yes
4,SUB0004,2022-04-30,2024-11-21,No
5,SUB0005,2022-05-31,,Yes
6,SUB0006,2022-06-30,2024-11-21,No
7,SUB0007,2022-07-31,,Yes
8,SUB0008,2022-08-31,2024-11-21,No
9,SUB0009,2022-09-30,,Yes
10,SUB0010,2022-10-31,2024-11-21,No
11,SUB0011,2022-11-30,,Yes
12,SUB0012,2022-12-31,2024-11-21,No
13,SUB0013,2023-01-31,,Yes
14,SUB0014,2023-02-28,2024-11-21,No
15,SUB0015,2023-03-31,,Yes
16,SUB0016,2023-04-30,2024-11-21,No
17,SUB0017,2023-05-31,,Yes
18,SUB0018,2023-06-30,2024-11-21,No
19,SUB0019,2023-07-31,,Yes
20,SUB0020,2023-08-31,2024-11-21,No
21,SUB0021,2023-09-30,,Yes
22,SUB0022,2023-10-31,2024-11-21,No
23,SUB0023,2023-11-30,,Yes
24,SUB0024,2023-12-31,2024-11-21,No
25,SUB0025,2024-01-31,,Yes
26,SUB0026,2024-02-29,2024-11-21,No
27,SUB0027,2024-03-31,,Yes
28,SUB0028,2024-04-30,2024-11-21,No
29,SUB0029,2024-05-31,,Yes
30,SUB0030,2024-06-30,2024-11-21,No
31,SUB0031,2024-07-31,,Yes
32,SUB0032,2024-08-31,2024-11-21,No
33,SUB0033,2024-09-30,,Yes
34,SUB0034,2024-10-31,2024-11-21,No
35,SUB0035,2024-11-30,,Yes
36,SUB0036,2024-12-31,2024-11-21,No
37,SUB0037,2025-01-31,,Yes
38,SUB0038,2025-02-28,2024-11-21,No
39,SUB0039,2025-03-31,,Yes
40,SUB0040,2025-04-30,2024-11-21,No
