ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-12-01,59.9220965,32.73542646307156,84.54494688591434,59.9220965,59.9220965,0.0,0.0,0.0,0.0,0.0,0.0,59.9220965
2024-01-01,59.113968009508206,33.13361136671034,85.56781372569975,59.113968009508206,59.113968009508206,0.0,0.0,0.0,0.0,0.0,0.0,59.113968009508206
2024-02-01,58.30583951783797,32.14036144983427,84.6087654653814,58.30583951783797,58.30583951783797,0.0,0.0,0.0,0.0,0.0,0.0,58.30583951783797
2024-03-01,57.549848350341364,31.33809311505943,85.05812334496285,57.549848350341364,57.549848350341364,0.0,0.0,0.0,0.0,0.0,0.0,57.549848350341364
2024-04-01,56.741719863802,29.09676733783481,82.66079623820606,56.741719863802,56.741719863802,0.0,0.0,0.0,0.0,0.0,0.0,56.741719863802
2024-06-01,55.15153155537456,29.56833038908743,80.9228376942099,55.15153155537456,55.15153155537456,0.0,0.0,0.0,0.0,0.0,0.0,55.15153155537456
2024-07-01,54.36947173758961,28.295533587293104,80.14281398775121,54.36947173758961,54.36947173758961,0.0,0.0,0.0,0.0,0.0,0.0,54.36947173758961
2024-08-01,53.5613432549609,28.86442620476584,80.36798422598481,53.5613432549609,53.5613432549609,0.0,0.0,0.0,0.0,0.0,0.0,53.5613432549609
2024-09-01,52.753214767263934,27.210461415652766,76.6569569791125,52.753214767263934,52.753214767263934,0.0,0.0,0.0,0.0,0.0,0.0,52.753214767263934
2024-10-01,51.97115494046043,25.493976156184363,77.73102158910106,51.97115494046043,51.97115494046043,0.0,0.0,0.0,0.0,0.0,0.0,51.97115494046043
2024-10-31,51.18909511365692,24.559406178341813,76.31667114798994,51.189095059924064,51.18909516841263,0.0,0.0,0.0,0.0,0.0,0.0,51.18909511365692
2024-11-30,50.40703528685341,25.112035107151474,74.99866457904344,50.407035100806276,50.40703545826324,0.0,0.0,0.0,0.0,0.0,0.0,50.40703528685341
2024-12-31,49.59890679915645,23.178744554389898,74.73911035709585,49.59890643417462,49.59890715513107,0.0,0.0,0.0,0.0,0.0,0.0,49.59890679915645
2025-01-31,48.79077831145949,22.512718766572657,72.87591382705298,48.79077772909348,48.79077889360338,0.0,0.0,0.0,0.0,0.0,0.0,48.79077831145949
2025-02-28,48.06085580644289,22.602699803478533,73.45449999484468,48.06085497340512,48.060856654059606,0.0,0.0,0.0,0.0,0.0,0.0,48.06085580644289
2025-03-31,47.252727318745926,23.32499158199007,73.40507570236716,47.2527262036107,47.252728430291555,0.0,0.0,0.0,0.0,0.0,0.0,47.252727318745926
2025-04-30,46.470667491942415,22.401153903937427,72.95432549008527,46.47066606663439,46.47066889937373,0.0,0.0,0.0,0.0,0.0,0.0,46.470667491942415
2025-05-31,45.66253900424546,20.065542191381873,68.92178667652881,45.66253726954988,45.662540785557084,0.0,0.0,0.0,0.0,0.0,0.0,45.66253900424546
2025-06-30,44.88047917744195,20.32815302010139,69.35442714116644,44.880477081237416,44.88048134675632,0.0,0.0,0.0,0.0,0.0,0.0,44.88047917744195
2025-07-31,44.07235068974499,19.576963206094945,71.24787219251797,44.07234820939719,44.07235328870973,0.0,0.0,0.0,0.0,0.0,0.0,44.07235068974499
2025-08-31,43.264222202048025,18.487369789383276,68.64801434207187,43.26421929867167,43.264225208532054,0.0,0.0,0.0,0.0,0.0,0.0,43.264222202048025
2025-09-30,42.48216237524452,16.221912644931283,69.40887289075346,42.48215917210001,42.48216579834782,0.0,0.0,0.0,0.0,0.0,0.0,42.48216237524452
